early_goldblue,mid_goldblue,late_goldblue,lane
270.06666666666666,398.3,467.6,ADC
257.93333333333334,372.9,425.46153846153845,ADC
326.6,495.9,589.8,ADC
303.6666666666667,431.0,350.8125,ADC
328.8666666666667,392.7,593.8,ADC
286.93333333333334,291.6666666666667,,ADC
301.1333333333333,446.2,461.2857142857143,ADC
279.3333333333333,424.5,590.0555555555555,ADC
304.73333333333335,479.7,364.5,ADC
270.26666666666665,373.8,562.0,ADC
295.73333333333335,380.7,459.74074074074076,ADC
296.2,288.3,437.2857142857143,ADC
285.8,491.4,487.9230769230769,ADC
317.06666666666666,365.9,220.0,ADC
310.06666666666666,475.0,492.25,ADC
377.0,441.1,317.15384615384613,ADC
293.93333333333334,311.0,283.46666666666664,ADC
350.6666666666667,369.8,505.07142857142856,ADC
300.0,329.5,459.06666666666666,ADC
291.73333333333335,493.4,532.0,ADC
274.8666666666667,434.4,363.0833333333333,ADC
329.4,377.2,527.8,ADC
280.6666666666667,346.5,307.45454545454544,ADC
292.53333333333336,374.3,538.5,ADC
268.8666666666667,375.1,487.2857142857143,ADC
332.0,398.4,528.5,ADC
327.46666666666664,468.2,589.8181818181819,ADC
275.8666666666667,356.2,356.125,ADC
356.8,380.6,563.6666666666666,ADC
312.93333333333334,521.3,659.0,ADC
315.6,362.0,429.2,ADC
296.73333333333335,441.1,542.1176470588235,ADC
312.6666666666667,256.7,287.0,ADC
292.26666666666665,420.8,322.3,ADC
358.73333333333335,448.8,492.05555555555554,ADC
320.1333333333333,437.5,668.9166666666666,ADC
253.2,367.0,472.6666666666667,ADC
327.53333333333336,351.9,409.9047619047619,ADC
308.3333333333333,346.7,567.1304347826087,ADC
286.6666666666667,372.1,620.5714285714286,ADC
282.8,313.4,375.2,ADC
304.8,490.7,305.0833333333333,ADC
291.0,408.7,607.0833333333334,ADC
290.73333333333335,380.5,345.8,ADC
393.06666666666666,423.6666666666667,,ADC
288.6666666666667,378.6,470.0,ADC
312.2,424.7,432.2758620689655,ADC
321.73333333333335,425.8,434.5,ADC
300.53333333333336,340.0,416.375,ADC
299.8,476.7,453.8,ADC
296.6,293.9,377.0,ADC
295.93333333333334,445.6,366.5833333333333,ADC
311.8666666666667,469.8,642.75,ADC
291.8,404.2,688.875,ADC
377.8666666666667,507.4,808.75,ADC
314.4,507.6,499.875,ADC
300.8,420.8,639.6,ADC
303.2,331.3,480.70588235294116,ADC
339.3333333333333,435.4,447.4,ADC
292.3333333333333,439.0,460.3076923076923,ADC
309.0,379.5,413.61538461538464,ADC
304.8666666666667,294.2,384.1818181818182,ADC
296.0,496.1,389.1904761904762,ADC
303.8666666666667,436.5,487.3333333333333,ADC
307.2,417.9,415.3333333333333,ADC
330.73333333333335,483.4,458.1904761904762,ADC
297.4,389.8,573.0,ADC
279.53333333333336,366.6,406.25,ADC
314.06666666666666,386.4,584.45,ADC
318.73333333333335,496.6,600.0,ADC
280.73333333333335,423.7,343.1666666666667,ADC
312.26666666666665,320.0,332.875,ADC
318.1333333333333,395.9,450.3333333333333,ADC
296.93333333333334,370.0,539.3076923076923,ADC
310.93333333333334,485.9,463.85,ADC
