early_goldblue,mid_goldblue,late_goldblue,lane
242.13333333333333,333.0,284.1333333333333,Jungle
261.93333333333334,275.2,306.84615384615387,Jungle
268.4,241.3,307.8666666666667,Jungle
241.8,334.7,260.8125,Jungle
246.4,266.1,473.2,Jungle
275.6666666666667,224.22222222222223,,Jungle
293.3333333333333,352.7,345.5,Jungle
249.6,365.8,402.8333333333333,Jungle
266.26666666666665,339.1,224.4375,Jungle
290.2,321.1,448.2857142857143,Jungle
277.1333333333333,304.2,270.77777777777777,Jungle
250.8,247.5,262.6666666666667,Jungle
267.6666666666667,343.0,447.0769230769231,Jungle
231.4,272.8,209.83333333333334,Jungle
274.53333333333336,262.2,343.0,Jungle
268.46666666666664,331.3,311.46153846153845,Jungle
239.46666666666667,265.3,173.66666666666666,Jungle
277.1333333333333,214.5,297.14285714285717,Jungle
267.73333333333335,296.4,267.26666666666665,Jungle
241.93333333333334,397.2,221.71428571428572,Jungle
301.3333333333333,309.4,226.875,Jungle
286.53333333333336,359.7,410.9,Jungle
252.93333333333334,292.7,248.9090909090909,Jungle
291.6,319.8,310.77777777777777,Jungle
239.46666666666667,272.8,236.71428571428572,Jungle
276.53333333333336,339.4,433.0,Jungle
295.8666666666667,374.2,377.1818181818182,Jungle
223.66666666666666,270.8,242.125,Jungle
318.06666666666666,277.3,503.8333333333333,Jungle
286.1333333333333,335.6,410.0,Jungle
300.73333333333335,230.5,202.05,Jungle
296.06666666666666,370.6,352.05882352941177,Jungle
232.73333333333332,188.4,224.5,Jungle
224.73333333333332,269.7,213.7,Jungle
264.1333333333333,298.7,265.05555555555554,Jungle
256.8,271.1,356.5,Jungle
300.46666666666664,412.5,450.0,Jungle
257.93333333333334,305.0,317.9047619047619,Jungle
303.6666666666667,324.9,385.6521739130435,Jungle
267.2,240.9,356.5,Jungle
276.6666666666667,291.3,262.46666666666664,Jungle
275.73333333333335,330.2,259.9583333333333,Jungle
342.46666666666664,326.8,422.0833333333333,Jungle
244.6,219.0,260.9,Jungle
298.1333333333333,387.8888888888889,,Jungle
264.53333333333336,319.4,374.0,Jungle
322.4,384.9,359.2413793103448,Jungle
296.93333333333334,297.5,235.6818181818182,Jungle
302.6666666666667,264.8,198.75,Jungle
306.06666666666666,330.3,330.6,Jungle
246.8,291.1,178.66666666666666,Jungle
277.06666666666666,447.3,291.5,Jungle
286.8,398.8,585.25,Jungle
335.8666666666667,388.1,442.875,Jungle
306.4,316.5,565.0,Jungle
299.53333333333336,424.5,368.0,Jungle
323.46666666666664,373.6,641.0,Jungle
252.26666666666668,280.9,350.70588235294116,Jungle
273.93333333333334,301.6,282.43333333333334,Jungle
325.73333333333335,343.7,458.0,Jungle
269.3333333333333,321.7,224.46153846153845,Jungle
247.2,232.6,191.36363636363637,Jungle
239.6,315.2,275.9047619047619,Jungle
309.26666666666665,299.5,311.06666666666666,Jungle
254.06666666666666,332.6,235.8095238095238,Jungle
287.26666666666665,366.4,327.0952380952381,Jungle
324.46666666666664,309.0,453.0,Jungle
249.86666666666667,217.9,252.5,Jungle
253.8,303.4,433.45,Jungle
266.6,472.6,305.6666666666667,Jungle
238.6,245.1,193.33333333333334,Jungle
304.0,333.1,191.25,Jungle
308.4,394.9,260.6666666666667,Jungle
270.6,307.0,334.6923076923077,Jungle
215.66666666666666,298.9,218.0,Jungle
253.93333333333334,228.5,210.53333333333333,Jungle
298.0,331.4,360.2352941176471,Jungle
258.53333333333336,313.3,346.40909090909093,Jungle
318.4,392.6,308.05882352941177,Jungle
282.8666666666667,239.4,168.16666666666666,Jungle
284.26666666666665,368.0,250.7,Jungle
262.0,392.6,275.3333333333333,Jungle
