early_goldblue,mid_goldblue,late_goldblue,lane
307.2,442.5,409.6,Middle
303.26666666666665,366.4,410.2307692307692,Middle
324.06666666666666,355.7,472.6,Middle
291.8666666666667,329.3,322.75,Middle
277.1333333333333,326.4,638.2,Middle
301.6666666666667,290.6666666666667,,Middle
305.4,443.2,379.5,Middle
283.3333333333333,441.6,487.44444444444446,Middle
279.6666666666667,370.2,296.1875,Middle
285.0,451.9,759.7142857142857,Middle
293.26666666666665,382.6,331.25925925925924,Middle
263.93333333333334,362.3,367.23809523809524,Middle
299.3333333333333,388.0,576.8461538461538,Middle
290.4,363.3,313.5,Middle
338.26666666666665,379.6,388.625,Middle
304.6666666666667,375.1,401.6923076923077,Middle
257.0,287.2,296.2,Middle
328.4,290.1,396.2857142857143,Middle
326.26666666666665,408.2,423.26666666666665,Middle
287.8,442.6,286.2142857142857,Middle
359.8666666666667,387.4,331.3333333333333,Middle
280.06666666666666,309.4,421.1,Middle
275.6666666666667,366.9,271.1818181818182,Middle
309.73333333333335,376.4,447.6666666666667,Middle
301.1333333333333,339.7,314.0,Middle
274.6,393.8,456.6666666666667,Middle
331.6666666666667,522.4,537.8181818181819,Middle
309.53333333333336,432.9,318.0,Middle
378.93333333333334,360.8,683.1666666666666,Middle
397.93333333333334,478.8,492.4,Middle
289.2,292.3,257.4,Middle
263.06666666666666,358.3,483.29411764705884,Middle
248.26666666666668,242.6,189.5,Middle
237.86666666666667,349.9,303.6,Middle
287.8,308.7,310.5,Middle
298.93333333333334,419.1,423.5833333333333,Middle
358.53333333333336,415.4,529.4,Middle
281.06666666666666,353.4,356.9047619047619,Middle
315.3333333333333,357.1,486.4347826086956,Middle
298.1333333333333,409.2,422.2142857142857,Middle
296.1333333333333,349.8,323.46666666666664,Middle
241.6,368.1,333.2083333333333,Middle
325.3333333333333,330.1,423.75,Middle
267.0,339.4,310.3,Middle
347.26666666666665,434.55555555555554,,Middle
288.93333333333334,350.4,404.42105263157896,Middle
270.8,371.0,381.9310344827586,Middle
325.8,395.1,327.45454545454544,Middle
276.6,322.0,281.375,Middle
303.0,531.7,661.6,Middle
304.53333333333336,344.7,236.22222222222223,Middle
308.73333333333335,497.9,355.0833333333333,Middle
333.8666666666667,423.6,644.5,Middle
367.2,432.9,641.75,Middle
377.46666666666664,426.7,718.75,Middle
324.2,453.5,473.375,Middle
347.2,396.0,649.0,Middle
266.93333333333334,394.1,516.2352941176471,Middle
293.53333333333336,387.8,377.0,Middle
267.4,438.5,495.38461538461536,Middle
282.4,337.2,366.38461538461536,Middle
304.73333333333335,314.8,467.6363636363636,Middle
267.8,381.9,472.14285714285717,Middle
381.6,505.9,509.8,Middle
265.2,384.4,394.4761904761905,Middle
311.8,430.2,399.7142857142857,Middle
346.26666666666665,418.3,490.6666666666667,Middle
296.53333333333336,312.5,354.75,Middle
312.0,386.3,408.9,Middle
304.6,501.6,512.3333333333334,Middle
303.26666666666665,396.2,415.1666666666667,Middle
306.93333333333334,318.0,293.875,Middle
319.3333333333333,416.7,308.3333333333333,Middle
268.46666666666664,352.0,420.15384615384613,Middle
302.3333333333333,456.7,324.4,Middle
301.6,331.6,344.46666666666664,Middle
314.8,379.5,514.7058823529412,Middle
287.53333333333336,349.7,386.3181818181818,Middle
330.73333333333335,343.2,419.29411764705884,Middle
317.26666666666665,418.1,407.8333333333333,Middle
249.8,403.5,345.0,Middle
297.1333333333333,416.5,311.8888888888889,Middle
295.4,397.0,409.54545454545456,Middle
264.2,336.5,344.6363636363636,Middle
276.93333333333334,378.1,346.11764705882354,Middle
347.8666666666667,358.9,494.5,Middle
283.3333333333333,384.8,406.0,Middle
300.53333333333336,358.2,295.5,Middle
304.06666666666666,490.0,421.1111111111111,Middle
272.46666666666664,311.9,318.77777777777777,Middle
299.0,357.0,406.0,Middle
299.3333333333333,353.6,547.0,Middle
260.46666666666664,368.4,407.04761904761904,Middle
283.0,328.2,340.8421052631579,Middle
295.3333333333333,404.0,464.125,Middle
335.46666666666664,468.8,361.77777777777777,Middle
279.26666666666665,340.4,337.0,Middle
302.93333333333334,422.3,512.2941176470588,Middle
284.1333333333333,430.5,428.2,Middle
309.46666666666664,450.9,379.6666666666667,Middle
305.46666666666664,405.8,467.3,Middle
273.6666666666667,323.4,338.1111111111111,Middle
267.46666666666664,326.9,314.0,Middle
296.4,358.2,385.45454545454544,Middle
379.8666666666667,388.9,372.8333333333333,Middle
318.6,328.0,318.61538461538464,Middle
279.6,446.2,397.4,Middle
314.6666666666667,370.5,287.0833333333333,Middle
279.1333333333333,363.3,319.5,Middle
281.8,325.1,436.6,Middle
295.1333333333333,278.7,406.17391304347825,Middle
308.4,329.3,331.2105263157895,Middle
324.06666666666666,443.5,316.14285714285717,Middle
327.3333333333333,421.2,503.36842105263156,Middle
285.53333333333336,366.9,445.2,Middle
365.3333333333333,410.2,543.2,Middle
260.3333333333333,311.7,336.8333333333333,Middle
325.26666666666665,460.7,333.0,Middle
