early_goldblue,mid_goldblue,late_goldblue,lane
160.2,259.7,250.26666666666668,Support
183.8,211.4,241.07692307692307,Support
217.6,274.1,302.53333333333336,Support
165.06666666666666,212.2,171.75,Support
174.66666666666666,198.1,448.0,Support
202.46666666666667,178.22222222222223,,Support
172.6,296.7,309.14285714285717,Support
185.66666666666666,232.3,367.3888888888889,Support
169.53333333333333,307.2,176.3125,Support
172.4,269.7,511.57142857142856,Support
165.46666666666667,218.8,215.37037037037038,Support
195.0,213.2,280.0,Support
196.46666666666667,270.4,361.38461538461536,Support
160.8,209.7,187.5,Support
193.73333333333332,260.2,423.5,Support
250.8,241.1,266.0,Support
172.86666666666667,191.3,184.53333333333333,Support
205.53333333333333,173.6,315.42857142857144,Support
211.8,213.3,303.6,Support
159.13333333333333,286.1,218.35714285714286,Support
195.73333333333332,214.3,203.5,Support
195.73333333333332,264.6,281.3,Support
185.93333333333334,239.0,154.0909090909091,Support
159.06666666666666,169.4,307.22222222222223,Support
175.86666666666667,207.3,218.0,Support
191.53333333333333,226.8,403.3333333333333,Support
188.6,262.8,321.1818181818182,Support
168.46666666666667,216.8,222.5625,Support
231.66666666666666,213.9,445.5,Support
191.2,321.8,417.8,Support
192.93333333333334,199.5,183.55,Support
190.26666666666668,225.8,371.4117647058824,Support
169.13333333333333,144.5,292.5,Support
163.53333333333333,191.0,169.6,Support
202.2,260.2,252.0,Support
192.06666666666666,220.2,372.5833333333333,Support
187.2,198.7,339.2,Support
209.6,201.2,262.42857142857144,Support
170.86666666666667,180.2,304.39130434782606,Support
204.6,256.3,295.2142857142857,Support
186.26666666666668,193.9,214.13333333333333,Support
174.73333333333332,237.4,206.45833333333334,Support
175.0,194.5,397.5,Support
172.53333333333333,166.3,208.2,Support
234.73333333333332,303.0,,Support
159.26666666666668,207.8,271.8421052631579,Support
186.93333333333334,216.8,252.6551724137931,Support
174.53333333333333,228.3,211.13636363636363,Support
219.33333333333334,172.4,198.875,Support
187.2,274.3,359.0,Support
178.53333333333333,182.2,177.66666666666666,Support
160.93333333333334,237.0,222.83333333333334,Support
178.93333333333334,259.1,483.0,Support
204.86666666666667,235.1,465.875,Support
245.4,281.5,471.0,Support
203.6,260.2,272.375,Support
243.26666666666668,241.1,455.4,Support
164.8,252.3,325.88235294117646,Support
198.66666666666666,250.0,246.56666666666666,Support
172.2,214.0,345.6923076923077,Support
246.2,192.2,228.96153846153845,Support
170.6,170.5,192.9090909090909,Support
215.73333333333332,211.4,277.6666666666667,Support
186.53333333333333,319.5,263.0,Support
170.6,226.2,206.28571428571428,Support
202.66666666666666,201.8,229.95238095238096,Support
211.93333333333334,195.9,390.6666666666667,Support
166.0,209.3,193.25,Support
165.33333333333334,193.1,325.6,Support
167.8,281.4,332.8333333333333,Support
171.2,217.1,176.16666666666666,Support
186.0,175.6,154.5,Support
203.4,252.0,204.25,Support
164.73333333333332,204.4,269.0,Support
164.8,258.0,183.05,Support
196.4,163.5,159.4,Support
177.06666666666666,167.9,294.8235294117647,Support
178.73333333333332,215.3,249.27272727272728,Support
208.0,269.3,242.0,Support
165.13333333333333,186.0,171.25,Support
169.13333333333333,244.3,208.15,Support
192.13333333333333,229.3,201.11111111111111,Support
181.93333333333334,270.2,281.45454545454544,Support
195.8,146.9,174.8181818181818,Support
180.86666666666667,175.5,191.76470588235293,Support
180.06666666666666,286.4,309.0,Support
169.8,233.3,297.6,Support
187.26666666666668,155.5,139.0,Support
164.13333333333333,280.6,248.55555555555554,Support
180.93333333333334,196.9,248.33333333333334,Support
170.0,204.9,205.85714285714286,Support
202.13333333333333,248.1,461.0,Support
187.2,183.4,224.42857142857142,Support
168.06666666666666,208.0,165.57894736842104,Support
165.4,281.7,283.125,Support
176.6,190.9,148.33333333333334,Support
173.8,179.4,303.22222222222223,Support
168.33333333333334,194.2,309.70588235294116,Support
250.8,237.5,318.2,Support
214.26666666666668,169.8,233.2,Support
210.0,201.0,333.8,Support
202.4,170.0,187.83333333333334,Support
169.6,216.3,155.75,Support
156.86666666666667,211.0,189.9090909090909,Support
183.6,231.4,237.77777777777777,Support
176.33333333333334,192.9,205.07692307692307,Support
171.33333333333334,226.7,283.92,Support
213.46666666666667,178.5,166.66666666666666,Support
179.6,229.6,200.375,Support
169.33333333333334,186.3,252.6,Support
180.8,179.4,226.7826086956522,Support
186.93333333333334,242.2,182.0,Support
197.6,231.0,211.57142857142858,Support
194.2,218.0,229.10526315789474,Support
193.46666666666667,207.1,313.6666666666667,Support
205.86666666666667,219.6,379.8,Support
170.66666666666666,155.3,242.33333333333334,Support
177.13333333333333,269.7,365.6666666666667,Support
176.6,243.9,312.7391304347826,Support
239.93333333333334,185.5,209.54545454545453,Support
173.2,158.4,246.54545454545453,Support
232.93333333333334,195.3,278.0833333333333,Support
174.06666666666666,219.6,223.0,Support
226.0,203.8,181.92857142857142,Support
202.2,193.5,280.1764705882353,Support
191.66666666666666,229.9,354.77777777777777,Support
189.26666666666668,198.3,302.27272727272725,Support
201.26666666666668,204.7,295.2692307692308,Support
177.53333333333333,231.6,211.69565217391303,Support
166.73333333333332,209.9,298.2608695652174,Support
207.13333333333333,250.2,228.9090909090909,Support
168.13333333333333,154.7,267.51724137931035,Support
187.66666666666666,262.7,211.94736842105263,Support
171.8,272.5,264.1666666666667,Support
164.06666666666666,172.3,267.0,Support
196.26666666666668,225.5,264.38461538461536,Support
200.8,236.9,298.8,Support
169.26666666666668,180.4,258.4583333333333,Support
183.66666666666666,292.5,376.0,Support
198.2,170.3,287.0,Support
173.26666666666668,203.9,267.6363636363636,Support
211.26666666666668,294.4,279.4583333333333,Support
173.33333333333334,268.7,359.42857142857144,Support
179.8,230.6,165.53333333333333,Support
203.13333333333333,262.1,169.88235294117646,Support
179.2,191.7,211.66666666666666,Support
173.6,262.5,239.53846153846155,Support
181.66666666666666,268.6,306.3888888888889,Support
241.66666666666666,215.9,192.26666666666668,Support
192.0,167.7,165.125,Support
176.8,160.5,155.25,Support
218.73333333333332,163.8,298.26666666666665,Support
194.4,285.6,316.8888888888889,Support
161.33333333333334,169.8,127.0,Support
189.0,258.7,321.4,Support
187.26666666666668,179.1,318.73333333333335,Support
224.06666666666666,261.5,410.3333333333333,Support
164.46666666666667,185.4,183.42857142857142,Support
217.66666666666666,365.8,,Support
181.66666666666666,139.8,214.95,Support
173.93333333333334,201.8,287.8,Support
192.86666666666667,225.6,417.3125,Support
250.4,331.8,466.5,Support
208.73333333333332,275.1,284.6666666666667,Support
198.46666666666667,173.9,229.76923076923077,Support
200.6,172.2,206.375,Support
170.33333333333334,200.6,212.22222222222223,Support
224.66666666666666,393.5,396.0,Support
183.46666666666667,252.9,280.46153846153845,Support
182.86666666666667,150.3,138.72727272727272,Support
207.13333333333333,228.6,206.5,Support
175.26666666666668,226.3,217.375,Support
179.86666666666667,174.9,194.88235294117646,Support
181.26666666666668,204.9,146.4,Support
213.13333333333333,179.6,179.0,Support
181.6,185.2,204.9090909090909,Support
212.53333333333333,234.2,238.76923076923077,Support
174.66666666666666,223.3,191.28571428571428,Support
195.0,262.7,687.6666666666666,Support
187.4,170.6,191.57142857142858,Support
170.06666666666666,192.9,222.75,Support
216.46666666666667,296.4,198.82857142857142,Support
166.06666666666666,196.7,150.0,Support
194.46666666666667,322.2,307.5,Support
187.33333333333334,300.9,288.8181818181818,Support
193.6,240.6,193.13333333333333,Support
196.66666666666666,238.3,344.3,Support
189.4,198.9,160.125,Support
242.8,387.4,389.0,Support
204.2,204.5,272.94444444444446,Support
170.0,214.5,180.14285714285714,Support
176.2,221.4,150.0,Support
182.46666666666667,204.2,219.1875,Support
200.33333333333334,187.9,398.25,Support
184.26666666666668,237.9,339.07142857142856,Support
195.93333333333334,183.4,205.0,Support
188.86666666666667,209.1,434.2857142857143,Support
174.86666666666667,179.3,213.35714285714286,Support
193.0,189.6,163.8235294117647,Support
165.26666666666668,178.8,252.6,Support
170.6,159.9,150.8,Support
181.4,198.7,334.0769230769231,Support
174.46666666666667,184.4,252.2941176470588,Support
177.06666666666666,214.4,198.25,Support
184.66666666666666,211.5,435.6,Support
166.4,197.8,198.91666666666666,Support
175.93333333333334,245.9,162.77777777777777,Support
195.0,190.6,213.72222222222223,Support
200.6,261.9,373.0,Support
221.73333333333332,169.6,181.875,Support
166.73333333333332,213.3,243.0625,Support
175.6,178.7,161.30769230769232,Support
206.26666666666668,346.7,196.6153846153846,Support
183.53333333333333,193.6,159.66666666666666,Support
182.93333333333334,180.8,238.04545454545453,Support
185.06666666666666,296.0,227.42857142857142,Support
210.06666666666666,163.2,224.2,Support
185.53333333333333,271.1,258.2105263157895,Support
159.13333333333333,180.2,216.93333333333334,Support
174.4,384.8,187.0,Support
165.86666666666667,189.9,193.58620689655172,Support
157.93333333333334,191.9,237.48387096774192,Support
222.8,159.8,290.63157894736844,Support
221.73333333333332,177.1,276.6923076923077,Support
168.8,178.5,229.25,Support
197.13333333333333,251.9,319.6923076923077,Support
176.86666666666667,215.5,235.75,Support
209.66666666666666,198.7,214.41666666666666,Support
213.46666666666667,159.0,270.93333333333334,Support
172.0,208.3,234.14285714285714,Support
197.13333333333333,265.5,372.7,Support
177.66666666666666,244.4,224.5,Support
203.86666666666667,204.7,221.375,Support
226.0,195.0,306.6666666666667,Support
168.26666666666668,224.6,315.5,Support
218.73333333333332,206.3,536.0,Support
201.33333333333334,223.4,339.6666666666667,Support
178.73333333333332,216.3,190.88888888888889,Support
260.3333333333333,188.4,177.75,Support
183.33333333333334,348.6,361.45454545454544,Support
219.93333333333334,252.8,244.64285714285714,Support
175.4,208.4,191.14285714285714,Support
173.93333333333334,222.9,252.5,Support
182.06666666666666,186.1,194.84848484848484,Support
188.73333333333332,200.1,263.05882352941177,Support
199.26666666666668,259.8,268.7,Support
190.2,205.5,230.66666666666666,Support
216.4,229.7,256.8125,Support
198.2,218.6,294.4864864864865,Support
206.53333333333333,253.2,284.0,Support
219.93333333333334,250.0,258.72727272727275,Support
213.13333333333333,270.2,378.85714285714283,Support
222.33333333333334,214.1,322.5263157894737,Support
210.6,227.7,224.5,Support
228.8,578.25,,Support
206.33333333333334,270.4,339.72727272727275,Support
179.93333333333334,281.5,315.64285714285717,Support
229.06666666666666,240.9,202.0,Support
176.6,281.8,255.7826086956522,Support
188.66666666666666,418.8,227.75,Support
197.06666666666666,235.8,222.11111111111111,Support
193.4,210.4,274.375,Support
218.8,272.0,266.3333333333333,Support
172.73333333333332,284.7,272.6470588235294,Support
181.73333333333332,288.1,414.5,Support
199.6,302.8,301.25,Support
178.26666666666668,338.1,390.1,Support
223.13333333333333,275.6,278.375,Support
208.46666666666667,256.0,519.0,Support
174.46666666666667,297.9,441.3333333333333,Support
202.13333333333333,340.4,256.0,Support
180.0,272.2,217.5,Support
189.26666666666668,177.0,,Support
176.0,280.3,396.11764705882354,Support
278.6,235.7,424.1666666666667,Support
225.53333333333333,387.8,,Support
227.4,235.1,230.125,Support
193.0,211.0,320.5,Support
240.73333333333332,254.8,311.375,Support
181.93333333333334,342.6,402.5,Support
193.6,313.7,508.2,Support
202.33333333333334,407.5,269.85714285714283,Support
182.2,274.22222222222223,,Support
205.53333333333333,279.2,295.05263157894734,Support
182.06666666666666,292.9,367.7142857142857,Support
189.86666666666667,222.4,308.3888888888889,Support
236.93333333333334,320.1,507.8,Support
211.2,212.8,274.14285714285717,Support
237.06666666666666,419.5,435.5,Support
186.53333333333333,307.6,304.44444444444446,Support
193.86666666666667,199.1,385.5,Support
255.6,303.0,505.8,Support
217.46666666666667,289.9,290.75,Support
195.8,217.9,250.95238095238096,Support
242.26666666666668,241.9,467.3333333333333,Support
195.93333333333334,272.2,338.125,Support
188.53333333333333,269.9,328.22727272727275,Support
231.33333333333334,335.4,399.0,Support
179.93333333333334,255.8,257.1212121212121,Support
211.2,211.1,248.0,Support
197.73333333333332,255.1,384.0,Support
210.66666666666666,276.3,261.64285714285717,Support
184.8,256.5,231.125,Support
167.6,228.5,244.66666666666666,Support
193.13333333333333,205.4,254.66666666666666,Support
181.66666666666666,207.5,235.0,Support
195.06666666666666,306.5,250.05555555555554,Support
190.46666666666667,291.3,339.0,Support
224.26666666666668,306.8,485.75,Support
221.0,260.2,329.8666666666667,Support
226.73333333333332,229.4,342.8125,Support
228.4,361.3,366.0,Support
217.4,208.2,296.0,Support
197.66666666666666,411.7,491.0,Support
228.06666666666666,281.4,243.03125,Support
203.66666666666666,232.8,404.46153846153845,Support
184.2,278.7,234.84615384615384,Support
186.06666666666666,305.5,401.2,Support
177.2,202.2,252.97674418604652,Support
205.26666666666668,336.4,432.4,Support
201.86666666666667,376.2,361.9,Support
209.8,221.1,240.0,Support
258.93333333333334,268.8,297.4583333333333,Support
237.93333333333334,249.2,299.375,Support
223.2,290.5,292.84615384615387,Support
256.1333333333333,349.8,,Support
196.6,340.0,393.0,Support
212.8,230.9,253.3,Support
211.4,308.7,365.0,Support
230.4,229.1,253.94736842105263,Support
247.46666666666667,289.1,359.44444444444446,Support
228.46666666666667,304.0,218.4,Support
199.86666666666667,261.2,922.0,Support
184.26666666666668,314.5,268.0,Support
185.06666666666666,261.9,265.42857142857144,Support
239.33333333333334,337.8,328.0,Support
207.73333333333332,350.3,329.0,Support
213.46666666666667,255.0,359.85714285714283,Support
211.46666666666667,244.4,346.525,Support
187.46666666666667,283.6,359.55555555555554,Support
186.2,251.6,284.0,Support
215.66666666666666,251.5,245.47368421052633,Support
184.93333333333334,202.5,279.1578947368421,Support
204.26666666666668,222.6,353.0769230769231,Support
209.0,210.7,247.7,Support
187.0,258.5,321.75,Support
212.46666666666667,245.5,393.0,Support
219.0,267.1,292.5,Support
191.4,307.9,345.0,Support
213.0,244.6,376.0,Support
183.46666666666667,233.7,214.5,Support
189.13333333333333,221.2,300.1304347826087,Support
193.73333333333332,236.5,230.83333333333334,Support
237.93333333333334,267.8,346.14285714285717,Support
234.46666666666667,249.2,268.8888888888889,Support
224.53333333333333,260.6,368.85714285714283,Support
188.0,269.6,298.625,Support
212.06666666666666,302.8,480.1111111111111,Support
185.26666666666668,277.7,257.5,Support
254.8,233.9,440.1111111111111,Support
186.73333333333332,266.9,342.5,Support
